"?SalesID","Sales Area","Product Name","Country","State","Quantity","Order Date","Price Paid"
1171832,"Region Central","Rockstar Energy Zero Sugar","Austria","Carinthia",1913,"2019-06-01","1"
1171833,"Region Central","Rockstar Energy Zero Sugar","Austria","Salzburg",3558,"2019-06-01","1"
1171834,"Region Central","Rockstar Energy Zero Sugar","Austria","Styria",1828,"2019-06-01","1"
1171835,"Region Central","Rockstar Energy Zero Sugar","Austria","Tyrol",2391,"2019-06-01","0,8"
1171836,"Region Central","Rockstar Energy Zero Sugar","Austria","Upper Austria",3483,"2019-06-01","1"
1171837,"Region Central","Rockstar Energy Zero Sugar","Austria","Vienna",5953,"2019-06-01","1"
1171838,"Region West","Rockstar Energy Zero Sugar","Belgium","Antwerp",1813,"2019-06-01","0,95"
1171839,"Region West","Rockstar Energy Zero Sugar","Belgium","Brussels",2525,"2019-06-01","0,95"
1171840,"Region West","Rockstar Energy Zero Sugar","Belgium","East Flanders",679,"2019-06-01","0,95"
1171841,"Region West","Rockstar Energy Zero Sugar","Belgium","Flemish Brabant",642,"2019-06-01","0,95"
1171842,"Region West","Rockstar Energy Zero Sugar","Belgium","Hainaut",682,"2019-06-01","0,95"
1171843,"Region West","Rockstar Energy Zero Sugar","Belgium","Limburg",1335,"2019-06-01","0,95"
1171844,"Region West","Rockstar Energy Zero Sugar","Belgium","Liège",718,"2019-06-01","0,95"
1171845,"Region West","Rockstar Energy Zero Sugar","Belgium","Namur",649,"2019-06-01","0,95"
1171846,"Region West","Rockstar Energy Zero Sugar","Belgium","West Flanders",661,"2019-06-01","0,95"
1171847,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Central Jutland",3868,"2019-06-01","0,88"
1171848,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Hovedstaden",7216,"2019-06-01","1,1"
1171849,"Region North 2","Rockstar Energy Zero Sugar","Denmark","South Denmark",1465,"2019-06-01","1,1"
1171850,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Zealand",1366,"2019-06-01","1,1"
1171851,"Region North 2","Rockstar Energy Zero Sugar","Finland","Finland Proper",2385,"2019-06-01","1,03"
1171852,"Region North 2","Rockstar Energy Zero Sugar","Finland","Kymenlaakso",1586,"2019-06-01","1,03"
1171853,"Region North 2","Rockstar Energy Zero Sugar","Finland","Uusimaa",710,"2019-06-01","1,03"
1171854,"Region West","Rockstar Energy Zero Sugar","France","Alsace-Champagne-Ardenne-Lorraine",4645,"2019-06-01","0,95"
1171855,"Region West","Rockstar Energy Zero Sugar","France","Aquitaine-Limousin-Poitou-Charentes",7792,"2019-06-01","0,95"
1171856,"Region West","Rockstar Energy Zero Sugar","France","Auvergne-Rhône-Alpes",2667,"2019-06-01","0,95"
1171857,"Region West","Rockstar Energy Zero Sugar","France","Brittany",13254,"2019-06-01","0,95"
1171858,"Region West","Rockstar Energy Zero Sugar","France","Bourgogne-Franche-Comté",2304,"2019-06-01","0,95"
1171859,"Region West","Rockstar Energy Zero Sugar","France","Centre-Val de Loire",2677,"2019-06-01","0,95"
1171860,"Region West","Rockstar Energy Zero Sugar","France","Corsica",2298,"2019-06-01","0,95"
1171861,"Region West","Rockstar Energy Zero Sugar","France","Ile-de-France",9660,"2019-06-01","0,76"
1171862,"Region West","Rockstar Energy Zero Sugar","France","Languedoc-Roussillon-Midi-Pyrénées",2504,"2019-06-01","0,95"
1171863,"Region West","Rockstar Energy Zero Sugar","France","Normandy",14514,"2019-06-01","0,95"
1171864,"Region West","Rockstar Energy Zero Sugar","France","Nord-Pas-de-Calais-Picardie",5313,"2019-06-01","0,95"
1171865,"Region West","Rockstar Energy Zero Sugar","France","Pays de la Loire",9314,"2019-06-01","0,95"
1171866,"Region West","Rockstar Energy Zero Sugar","France","Provence-Alpes-Côte d'Azur",2795,"2019-06-01","0,95"
1171867,"Region Central","Rockstar Energy Zero Sugar","Germany","Baden-Württemberg",16522,"2019-06-01","1"
1171868,"Region Central","Rockstar Energy Zero Sugar","Germany","Bavaria",14389,"2019-06-01","1"
1171869,"Region Central","Rockstar Energy Zero Sugar","Germany","Berlin",4084,"2019-06-01","1"
1171870,"Region Central","Rockstar Energy Zero Sugar","Germany","Brandenburg",9572,"2019-06-01","1"
1171871,"Region Central","Rockstar Energy Zero Sugar","Germany","Bremen",1297,"2019-06-01","1"
