"?SalesID","Sales Area","Product Name","Country","State","Quantity","Order Date","Price Paid"
1000000,"Region Central","Rockstar Energy Zero Sugar","Austria","Carinthia",1402,"2019-01-01","1"
1000001,"Region Central","Rockstar Energy Zero Sugar","Austria","Salzburg",3094,"2019-01-01","1"
1000002,"Region Central","Rockstar Energy Zero Sugar","Austria","Styria",1541,"2019-01-01","1"
1000003,"Region Central","Rockstar Energy Zero Sugar","Austria","Tyrol",1369,"2019-01-01","1"
1000004,"Region Central","Rockstar Energy Zero Sugar","Austria","Upper Austria",3153,"2019-01-01","1"
1000005,"Region Central","Rockstar Energy Zero Sugar","Austria","Vienna",5091,"2019-01-01","0,8"
1000006,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Central Jutland",2254,"2019-01-01","1,1"
1000007,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Hovedstaden",5339,"2019-01-01","1,1"
1000008,"Region North 2","Rockstar Energy Zero Sugar","Denmark","South Denmark",964,"2019-01-01","1,1"
1000009,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Zealand",1123,"2019-01-01","1,1"
1000010,"Region North 2","Rockstar Energy Zero Sugar","Finland","Finland Proper",1703,"2019-01-01","1,03"
1000011,"Region North 2","Rockstar Energy Zero Sugar","Finland","Kymenlaakso",1049,"2019-01-01","1,03"
1000012,"Region North 2","Rockstar Energy Zero Sugar","Finland","Uusimaa",543,"2019-01-01","1,03"
1000013,"Region Central","Rockstar Energy Zero Sugar","Germany","Baden-Württemberg",14060,"2019-01-01","1"
1000013,"Region Central","Rockstar Energy Zero Sugar","Germany","Baden-Württemberg",14060,"2019-01-01","1"
1000014,"Region Central","Rockstar Energy Zero Sugar","Germany","Bavaria",10886,"2019-01-01","1"
1000015,"Region Central","Rockstar Energy Zero Sugar","Germany","Berlin",3266,"2019-01-01","1"
1000016,"Region Central","Rockstar Energy Zero Sugar","Germany","Brandenburg",7404,"2019-01-01","1"
1000017,"Region Central","Rockstar Energy Zero Sugar","Germany","Bremen",1478,"2019-01-01","0,8"
1000018,"Region Central","Rockstar Energy Zero Sugar","Germany","Hamburg",2423,"2019-01-01","1"
1000019,"Region Central","Rockstar Energy Zero Sugar","Germany","Hesse",8027,"2019-01-01","1"
1000020,"Region Central","Rockstar Energy Zero Sugar","Germany","Lower Saxony",5839,"2019-01-01","1"
1000021,"Region Central","Rockstar Energy Zero Sugar","Germany","Mecklenburg-Vorpommern",1430,"2019-01-01","0,8"
1000022,"Region Central","Rockstar Energy Zero Sugar","Germany","North Rhine-Westphalia",14718,"2019-01-01","1"
1000023,"Region Central","Rockstar Energy Zero Sugar","Germany","Rhineland-Palatinate",10129,"2019-01-01","1"
1000024,"Region Central","Rockstar Energy Zero Sugar","Germany","Saarland",1187,"2019-01-01","1"
1000025,"Region Central","Rockstar Energy Zero Sugar","Germany","Saxony",7524,"2019-01-01","1"
