"?SalesID","Sales Area","Product Name","Country","State","Quantity","Order Date","Price Paid"
1075621,"Region North 2","Monster Ultra White","Sweden","Halland",24,"2019-03-11","1,992"
1075622,"Region North 2","Monster Ultra White","Sweden","Örebro",175,"2019-03-11","2,49"
1075623,"Region North 2","Monster Ultra White","Sweden","Gävleborg",17,"2019-03-11","2,49"
1075624,"Region North 2","Monster Ultra White","Sweden","Södermanland",165,"2019-03-11","2,49"
1075625,"Region Central","Monster Ultra White","Switzerland","Basel-Stadt",40,"2019-03-11","2,67"
1075626,"Region Central","Monster Ultra White","Switzerland","Bern",25,"2019-03-11","2,67"
1075627,"Region Central","Monster Ultra White","Switzerland","Geneva",11,"2019-03-11","2,67"
1075628,"Region Central","Monster Ultra White","Switzerland","Lucerne",15,"2019-03-11","2,136"
1075629,"Region Central","Monster Ultra White","Switzerland","St. Gallen",13,"2019-03-11","2,67"
1075630,"Region Central","Monster Ultra White","Switzerland","Vaud",15,"2019-03-11","2,136"
1075631,"Region Central","Monster Ultra White","Switzerland","Zürich",40,"2019-03-11","2,67"
1075632,"Region North 1","Monster Ultra White","United Kingdom","England",22894,"2019-03-11","2,29"
1075633,"Region North 1","Monster Ultra White","United Kingdom","Scotland",3503,"2019-03-11","2,29"
1075634,"Region North 1","Monster Ultra White","United Kingdom","Wales",340,"2019-03-11","2,29"
1075635,"Region Central","Red Bull Zero","Austria","Carinthia",743,"2019-03-11","0,792"
1075636,"Region Central","Red Bull Zero","Austria","Salzburg",1108,"2019-03-11","0,99"
1075637,"Region Central","Red Bull Zero","Austria","Styria",571,"2019-03-11","0,99"
1075638,"Region Central","Red Bull Zero","Austria","Tyrol",651,"2019-03-11","0,792"
1075639,"Region Central","Red Bull Zero","Austria","Upper Austria",1075,"2019-03-11","0,99"
1075640,"Region Central","Red Bull Zero","Austria","Vienna",1962,"2019-03-11","0,792"
1075641,"Region West","Red Bull Zero","Belgium","Antwerp",681,"2019-03-11","0,94"
1075642,"Region West","Red Bull Zero","Belgium","Brussels",1054,"2019-03-11","0,752"
1075643,"Region West","Red Bull Zero","Belgium","East Flanders",218,"2019-03-11","0,94"
1075644,"Region West","Red Bull Zero","Belgium","Flemish Brabant",230,"2019-03-11","0,94"
1075645,"Region West","Red Bull Zero","Belgium","Hainaut",218,"2019-03-11","0,94"
